,0
2018-11-22,336094.84
2018-11-21,426420.58
2018-11-20,506672.89
2018-11-19,436651.41
2018-11-16,386609.77
2018-11-15,496483.09
2018-11-14,501128.07
2018-11-13,431567.47
2018-11-12,481588.56
2018-11-09,421272.01
2018-11-08,461607.89
2018-11-07,681449.3
2018-11-06,631818.41
2018-11-02,602006.23
2018-11-01,702685.47
2018-10-31,798691.62
2018-10-30,844464.18
2018-10-29,863809.94
2018-10-26,753028.92
2018-10-25,602692.48
2018-10-24,503276.31
2018-10-23,466455.03
2018-10-22,587443.92
2018-10-19,589403.33
2018-10-18,589283.58
2018-10-17,689065.85
2018-10-16,723196.3
2018-10-15,618127.36
2018-10-12,549104.85
2018-10-11,596955.17
2018-10-10,581317.39
2018-10-09,552203.78
2018-10-08,417212.99
2018-10-05,377601.72
2018-10-04,407813.5
2018-10-03,507893.72
2018-10-02,529854.98
2018-10-01,671546.01
2018-09-28,690048.7
2018-09-27,735037.21
2018-09-26,698736.81
2018-09-25,499997.8
2018-09-24,499504.55
2018-09-21,644405.82
2018-09-20,639475.69
2018-09-19,650581.18
2018-09-18,681209.23
2018-09-17,716203.65
2018-09-14,764393.48
2018-09-13,704303.13
2018-09-12,721310.78
2018-09-11,741441.11
2018-09-10,781330.92
2018-09-07,842425.39
2018-09-06,802239.92
2018-09-05,302406.16
2018-09-04,372597.9
2018-09-03,302551.51
2018-08-31,397323.36
2018-08-30,397868.92
2018-08-29,447895.7
2018-08-28,468205.79
2018-08-27,324541.27
2018-08-24,302906.77
2018-08-23,302791.47
2018-08-22,302517.47
2018-08-21,301807.36
2018-08-20,304025.35
2018-08-17,304179.37
2018-08-16,304160.51
2018-08-15,303715.95
2018-08-14,304205.77
2018-08-13,304534.03
2018-08-10,304589.14
2018-08-09,304569.66
2018-08-08,340191.95
2018-08-07,345108.29
2018-08-06,356308.71
2018-08-03,388089.47
2018-08-02,462778.93
2018-08-01,511805.24
2018-07-31,431753.66
2018-07-30,395355.23
2018-07-27,310101.89
2018-07-26,419494.69
2018-07-25,309672.12
2018-07-24,309364.39
2018-07-23,308527.94
2018-07-20,309274.4
2018-07-19,309677.96
2018-07-18,310442.53
2018-07-17,310318.28
2018-07-16,298903.22
2018-07-13,312922.12
2018-07-12,313012.21
2018-07-11,313742.12
2018-07-10,313708.87
2018-07-09,312720.97
2018-07-06,309438.91
2018-07-05,312421.48
2018-07-04,311487.84
2018-07-03,311493.38
2018-07-02,316719.7
2018-06-29,315608.57
2018-06-28,315108.18
2018-06-27,314448.61
2018-06-26,314702.27
2018-06-25,314766.0
2018-06-22,314656.4
2018-06-21,314589.06
2018-06-20,314792.6
2018-06-19,314893.31
2018-06-18,314488.65
2018-06-15,315847.77
2018-06-14,315933.4
2018-06-13,316030.43
2018-06-09,316136.79
2018-06-08,316112.61
2018-06-07,316159.95
2018-06-06,316747.48
2018-06-05,316978.2
2018-06-04,317139.18
2018-06-01,317376.79
2018-05-31,316780.42
2018-05-30,316764.31
2018-05-29,317962.05
2018-05-28,316011.17
2018-05-25,315143.41
2018-05-24,314949.5
2018-05-23,313722.58
2018-05-22,315799.46
2018-05-21,315762.89
